"","x"
"272",0
"273",1
"274",0.287472284077134
"275",-0.287472284077134
"276",0.287472284077134
"277",-1.08476541516927
"278",0.072439974672595
"279",1.33813667486379
"280",-0.237741700304509
"281",-0.677298165677999
"282",-0.21349371942683
"283",1.12853358540934
"284",0.0849601340174917
"285",-0.927271686017755
"286",-0.254398491132542
"287",0.652885987180109
"288",0.907598353863861
"289",0.0195934559606177
"290",-0.325679305872045
"291",0.0932644596502159
"292",0.149999963666982
"293",-0.638694571621444
"294",-0.375541818139744
"295",-1
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",-1.28747228407713
"303",0
"304",0
"305",-0.370112598189659
"306",-0.206651543827413
"307",1.49412382790455
"308",0.253605263995274
"309",0.116507334194385
"310",-0.029348900247449
"311",-0.0147952212443632
"312",-0.108433669583319
"313",-0.0748016451422284
"314",-0.0653946291607996
"315",0.527304476562558
"316",-0.0406587701949515
"317",-0.0905806134782514
"318",-0.103291027511196
"319",1.50999249093306
"320",-1.50999249093306
"321",-1
"322",0
"323",1
"324",0.564489127006723
"325",-0.564489127006723
"326",0.0544966360736667
"327",-0.277016842929589
"328",0.181861436660971
"329",-0.0583462849396983
"330",0.177302643579964
"331",-0.118956358640266
"332",-0.0819401820729029
"333",-0.123230876511305
"334",0.157404417455324
"335",0.0884254113238356
"336",0.0898746694567838
"337",-0.177416007810597
"338",0.252793498459938
"339",0.104591802149302
"340",-0.0202294440667723
"341",0.0103357895943463
"342",-0.14933244760034
"343",0.00924034447990696
"344",-0.0755568408400273
"345",-0.217136313054419
"346",1.17283494923188
"347",0
"348",0.172834949231879
"349",-2.17283494923188
"350",1
"351",-0.116507334194385
"352",0.116507334194385
"353",-0.293884716004819
"354",0.387149175655035
"355",-0.00830432563272421
"356",-0.0122318200352463
"357",0.30939448853589
"358",-0.171763619694823
"359",-0.159386033803351
"360",0.215613387085365
"361",-0.266586536105326
"362",0.0990111774538049
"363",-0.0990111774538049
"364",0.118228770610592
"365",-0.118228770610592
"366",0.0161455768930403
"367",0.00477607746557185
"368",0.0847119001175192
"369",-0.220270889321387
"370",1.40210961892239
"371",-0.114637334845255
"372",-1.17283494923188
"373",1.17283494923188
"374",-1.46030723330901
"375",0.447981792812339
"376",0.176648032965973
"377",-0.099415841396669
"378",-0.091449375633426
"379",-0.0738523499984878
"380",0.281803960488554
"381",-0.128353955382099
"382",-0.177095588341521
"383",0.23003738356941
"384",-0.278831775006939
"385",1.65758488226679
"386",-1.5441977980896
"387",-0.47372773674956
"388",0.0728683684952289
"389",1.28747228407713
"390",-2
"391",1
"392",0
"393",1.17283494923188
"394",-1.37554181813974
"395",-0.172834949231879
