"","day","wday","hour","count"
"233",16965,2,16,0
"234",16965,2,17,2
"235",16965,2,18,1
"236",16965,2,19,1
"237",16965,2,20,2
"238",16965,2,21,1
"239",16965,2,22,0
"240",16965,2,23,0
"241",16966,3,0,2
"242",16966,3,1,3
"243",16966,3,2,2
"244",16966,3,3,0
"245",16966,3,4,0
"246",16966,3,5,0
"247",16966,3,6,0
"248",16966,3,7,0
"249",16966,3,8,0
"250",16966,3,9,0
"251",16966,3,10,0
"252",16966,3,11,0
"253",16966,3,12,1
"254",16966,3,13,3
"255",16966,3,14,0
"256",16966,3,15,2
"257",16966,3,16,0
"258",16966,3,17,0
"259",16966,3,18,1
"260",16966,3,19,4
"261",16966,3,20,1
"262",16966,3,21,5
"263",16966,3,22,2
"264",16966,3,23,0
"265",16967,4,0,1
"266",16967,4,1,1
"267",16967,4,2,0
"268",16967,4,3,0
"269",16967,4,4,0
"270",16967,4,5,0
"271",16967,4,6,0
"272",16967,4,7,0
"273",16967,4,8,0
"274",16967,4,9,0
"275",16967,4,10,0
"276",16967,4,11,0
"277",16967,4,12,0
"278",16967,4,13,2
"279",16967,4,14,2
"280",16967,4,15,0
"281",16967,4,16,0
"282",16967,4,17,1
"283",16967,4,18,2
"284",16967,4,19,0
"285",16967,4,20,0
"286",16967,4,21,1
"287",16967,4,22,4
"288",16967,4,23,1
"289",16968,5,0,0
"290",16968,5,1,0
"291",16968,5,2,0
"292",16968,5,3,0
"293",16968,5,4,0
"294",16968,5,5,0
"295",16968,5,6,0
"296",16968,5,7,0
"297",16968,5,8,0
"298",16968,5,9,0
"299",16968,5,10,0
"300",16968,5,11,0
"301",16968,5,12,0
"302",16968,5,13,0
"303",16968,5,14,3
"304",16968,5,15,3
"305",16968,5,16,3
"306",16968,5,17,9
"307",16968,5,18,15
"308",16968,5,19,9
"309",16968,5,20,7
"310",16968,5,21,6
"311",16968,5,22,15
"312",16968,5,23,22
"313",16969,6,0,25
"314",16969,6,1,32
"315",16969,6,2,25
"316",16969,6,3,9
"317",16969,6,4,10
"318",16969,6,5,6
"319",16969,6,6,6
"320",16969,6,7,0
"321",16969,6,8,0
"322",16969,6,9,1
"323",16969,6,10,1
"324",16969,6,11,0
"325",16969,6,12,1
"326",16969,6,13,3
"327",16969,6,14,6
"328",16969,6,15,6
"329",16969,6,16,10
"330",16969,6,17,14
"331",16969,6,18,9
"332",16969,6,19,10
"333",16969,6,20,11
"334",16969,6,21,18
"335",16969,6,22,23
"336",16969,6,23,34
"337",16970,7,0,39
"338",16970,7,1,39
"339",16970,7,2,33
"340",16970,7,3,37
"341",16970,7,4,42
"342",16970,7,5,37
"343",16970,7,6,29
"344",16970,7,7,21
"345",16970,7,8,8
"346",16970,7,9,2
"347",16970,7,10,0
"348",16970,7,11,0
"349",16970,7,12,0
"350",16970,7,13,1
"351",16970,7,14,3
"352",16970,7,15,7
"353",16970,7,16,7
"354",16970,7,17,13
"355",16970,7,18,12
"356",16970,7,19,8
"357",16970,7,20,10
"358",16970,7,21,6
"359",16970,7,22,13
"360",16970,7,23,28
"361",16971,1,0,29
"362",16971,1,1,37
"363",16971,1,2,34
"364",16971,1,3,52
"365",16971,1,4,54
"366",16971,1,5,40
"367",16971,1,6,31
"368",16971,1,7,22
"369",16971,1,8,10
"370",16971,1,9,3
"371",16971,1,10,0
"372",16971,1,11,0
"373",16971,1,12,2
"374",16971,1,13,0
"375",16971,1,14,3
"376",16971,1,15,3
"377",16971,1,16,2
"378",16971,1,17,4
"379",16971,1,18,9
"380",16971,1,19,4
"381",16971,1,20,6
"382",16971,1,21,6
"383",16971,1,22,7
"384",16971,1,23,8
"385",16972,2,0,8
"386",16972,2,1,0
"387",16972,2,2,9
"388",16972,2,3,11
"389",16972,2,4,3
"390",16972,2,5,0
"391",16972,2,6,1
"392",16972,2,7,0
"393",16972,2,8,0
"394",16972,2,9,0
"395",16972,2,10,4
"396",16972,2,11,4
"397",16972,2,12,7
"398",16972,2,13,9
"399",16972,2,14,3
