"","x"
"591",-6
"592",3
"593",-1
"594",-5
"595",5
"596",0
"597",0
"598",-1
"599",-2
"600",0
"601",-2
"602",0
"603",3
"604",-1
"605",-3
"606",3
"607",0
"608",-3
"609",2
"610",-2
"611",1
"612",3
"613",-6
"614",4
"615",2
"616",5
"617",-11
"618",5
"619",7
"620",-1
"621",-2
"622",-3
"623",7
"624",-9
"625",0
"626",2
"627",-4
"628",2
"629",-4
"630",4
"631",-2
"632",2
"633",-2
"634",-4
"635",4
"636",5
"637",-2
"638",7
"639",-8
"640",6
"641",2
"642",-12
"643",3
"644",-1
"645",13
"646",-12
"647",-6
"648",1
"649",4
"650",-2
"651",11
"652",-11
"653",-1
"654",-2
"655",1
"656",3
"657",1
"658",0
"659",2
"660",-4
"661",5
"662",-5
"663",0
"664",2
"665",2
"666",-2
"667",3
"668",-10
"669",3
"670",-2
"671",-4
"672",4
"673",-7
"674",5
"675",7
"676",3
"677",-26
"678",36
"679",-28
"680",18
"681",1
"682",0
"683",-3
"684",2
"685",-4
"686",4
"687",-4
"688",0
"689",-5
"690",2
"691",-1
"692",4
"693",-9
"694",9
"695",7
"696",-8
"697",-6
"698",-18
"699",13
"700",4
"701",16
"702",-18
"703",-10
"704",18
"705",2
"706",3
"707",1
"708",0
"709",-1
"710",-1
"711",4
"712",-8
"713",2
"714",-2
"715",-2
"716",-3
"717",0
"718",-5
"719",-3
"720",-5
"721",-6
"722",-16
"723",10
"724",7
"725",-3
"726",6
"727",11
"728",10
"729",2
"730",1
"731",-1
"732",3
"733",3
"734",1
"735",-6
"736",-5
"737",-1
"738",0
"739",-3
"740",-2
"741",4
"742",-7
"743",-3
"744",-8
"745",-2
"746",14
"747",-12
"748",4
"749",12
"750",6
"751",-4
"752",7
"753",-1
"754",1
"755",0
"756",-2
"757",3
"758",-11
"759",11
"760",-4
"761",2
"762",-1
"763",-3
"764",4
"765",0
"766",8
"767",-5
"768",-3
"769",3
"770",-1
"771",0
"772",-2
"773",-1
"774",4
"775",-4
"776",2
"777",0
"778",1
"779",-2
"780",1
"781",6
"782",1
"783",-5
"784",-2
"785",1
"786",0
"787",1
"788",-3
"789",4
"790",1
"791",29
"792",11
"793",-29
"794",-8
"795",30
"796",-22
"797",-6
"798",-10
"799",1
"800",-3
"801",2
"802",7
"803",-5
"804",1
"805",3
"806",-10
"807",14
"808",-12
"809",-5
"810",11
"811",-1
"812",-2
"813",-11
"814",22
"815",-2
"816",1
"817",1
"818",-9
"819",3
"820",1
"821",-3
"822",2
"823",-2
"824",-2
"825",0
"826",2
"827",-5
"828",4
"829",-1
"830",4
"831",4
"832",-1
"833",-9
"834",8
"835",-7
"836",10
"837",-12
"838",6
"839",-1
"840",15
"841",-18
"842",12
"843",2
"844",-11
"845",1
"846",-13
"847",16
"848",-7
"849",-1
"850",2
"851",2
"852",-4
"853",4
"854",-2
"855",9
"856",-5
"857",-5
"858",5
"859",6
"860",-4
"861",-6
"862",3
"863",-9
"864",-2
"865",22
"866",9
"867",7
"868",-7
"869",-31
"870",10
"871",2
"872",-6
"873",3
"874",-3
"875",2
"876",-3
"877",10
"878",-2
"879",-7
"880",2
"881",4
"882",-5
"883",5
"884",-4
"885",-4
"886",-3
"887",5
"888",-1
"889",0
"890",2
"891",-1
"892",-2
"893",5
"894",-4
"895",1
"896",1
"897",0
"898",1
"899",3
"900",0
"901",-8
"902",8
"903",-1
"904",-3
"905",0
"906",2
"907",0
"908",-8
"909",5
"910",0
"911",7
"912",-6
"913",-6
"914",8
"915",-3
"916",4
"917",0
"918",-3
"919",4
"920",-4
"921",2
"922",-1
"923",-1
"924",2
"925",-1
"926",4
"927",0
"928",-5
"929",-2
"930",2
"931",6
"932",-3
"933",-3
"934",1
"935",-1
"936",3
"937",-2
"938",5
"939",-7
"940",3
"941",5
"942",-5
"943",-3
"944",2
"945",-1
"946",0
"947",4
"948",-1
"949",-7
"950",4
"951",-2
"952",-2
"953",7
"954",-7
"955",3
"956",2
"957",-3
"958",12
"959",-23
"960",-4
"961",10
"962",7
"963",-28
"964",25
"965",8
"966",-1
"967",-2
"968",1
"969",-2
"970",-3
"971",1
"972",3
"973",-3
"974",10
"975",-13
"976",10
"977",-2
"978",-3
"979",-4
"980",10
"981",4
"982",-16
"983",20
"984",-8
"985",-2
"986",-2
"987",-2
"988",5
"989",3
"990",-4
"991",1
"992",-3
"993",0
"994",0
"995",2
"996",-2
"997",-1
"998",5
"999",-10
"1000",4
"1001",15
"1002",-12
"1003",2
"1004",-5
"1005",9
"1006",8
"1007",16
"1008",-23
"1009",43
"1010",-24
"1011",15
"1012",1
"1013",-19
"1014",-13
"1015",-12
"1016",9
"1017",-8
"1018",-4
"1019",2
"1020",1
"1021",2
"1022",-1
"1023",-8
"1024",12
"1025",3
"1026",4
"1027",-21
"1028",10
"1029",6
"1030",0
"1031",33
"1032",-10
"1033",-11
"1034",22
"1035",-30
"1036",-7
"1037",21
"1038",-13
"1039",-10
"1040",4
"1041",-5
"1042",-1
"1043",-2
"1044",4
"1045",-7
"1046",9
"1047",4
"1048",1
"1049",-2
"1050",2
"1051",-7
"1052",5
"1053",-3
"1054",10
"1055",-5
"1056",-7
"1057",1
"1058",-2
"1059",12
"1060",-5
"1061",-10
"1062",6
"1063",-4
"1064",-2
"1065",0
"1066",4
"1067",-2
"1068",0
"1069",1
"1070",4
"1071",-2
"1072",-7
"1073",4
"1074",1
"1075",3
"1076",8
"1077",-12
"1078",-4
"1079",4
"1080",10
"1081",4
"1082",-13
"1083",5
"1084",-17
"1085",8
"1086",6
"1087",-7
"1088",4
"1089",-3
"1090",3
"1091",0
"1092",2
"1093",5
"1094",-4
"1095",-6
"1096",5
"1097",5
"1098",-4
"1099",-3
"1100",-6
"1101",12
"1102",-6
"1103",9
"1104",-3
"1105",3
"1106",-13
"1107",6
"1108",-4
"1109",-2
"1110",0
"1111",7
"1112",-4
"1113",-3
"1114",4
"1115",-5
"1116",4
"1117",2
"1118",1
"1119",4
"1120",-1
"1121",3
"1122",-3
"1123",-3
"1124",4
"1125",-10
"1126",-8
"1127",0
"1128",-7
"1129",12
"1130",7
"1131",-4
"1132",-5
"1133",6
"1134",0
"1135",0
"1136",-2
"1137",6
"1138",-2
"1139",2
"1140",-7
"1141",10
"1142",-8
"1143",10
"1144",-3
"1145",4
"1146",-2
"1147",11
